album,artist,lyric,song,year
Infinite (1996),Eminem,"'Cause I just need you to see, how much I'm eager to be",Searchin',1996
Infinite (1996),Eminem,Police voice:,Backstabber,1996
Infinite (1996),Eminem,Long enough to see how this gentleman sex'es,Searchin',1996
Infinite (1996),Eminem,There's a joker on the loose from the psychiatric ward,Backstabber,1996
Infinite (1996),Eminem,I make you think you're a best friend then,Backstabber,1996
Infinite (1996),Eminem,"Your an incredible one that's rare, in bed with edible underwear",Searchin',1996
Infinite (1996),Eminem,"Our unit storms in, we split the ghetto in sectors",Backstabber,1996
Infinite (1996),Eminem,"I'm getting mad love, I'm snuggling hugs",Tonite,1996
Infinite (1996),Eminem,Stay away from him he ain't no good!,Backstabber,1996
Infinite (1996),Eminem,Maxine: What,Maxine,1996
Infinite (1996),Eminem,"Ah, Ah, Ah, Ah (blends in with lyrics)",Tonite,1996
Infinite (1996),Eminem,"I'm mad as hell, on the trail of the tattle tail",Backstabber,1996
Infinite (1996),Eminem,'Cause we came here to do this tonight,Tonite,1996
Infinite (1996),Eminem,I followed the voice that led down a flight of steps,Backstabber,1996
Infinite (1996),Eminem,Then I remembered the flashlight in my costume,Backstabber,1996
Infinite (1996),Eminem,When I stumbled upon this resolution,Tonite,1996
Infinite (1996),Eminem,So I can give him a taste of his own medicine,Backstabber,1996
Infinite (1996),Eminem,When I rap I represent it and will never referee in it,Tonite,1996
Infinite (1996),Eminem,Unit 313 has apprehended the suspect,Backstabber,1996
Infinite (1996),Eminem,I make you think you're a best friend then,Backstabber,1996
Infinite (1996),Eminem,Till the morning light hope that everyone's feeling all right,Tonite,1996
Infinite (1996),Eminem,"I'm up all night, but everything is all right (It's all right)",It's OK,1996
Infinite (1996),Eminem,And treat you like a piece,Tonite,1996
